epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.30511,1.57632,2.9536,1.45413,0.0047,1,0.55191,0.306,1.37271,2.50287,1.42622,0.00024,0.00024,0.00024
2,15.1307,1.35854,2.64436,1.3664,0.0042,1,0.71715,0.45638,1.19963,2.50192,1.20421,0.00049505,0.00049505,0.00049505
3,19.6762,1.32833,2.44854,1.38442,0.00378,1,0.5441,0.32549,1.51902,2.41394,1.39238,0.000744952,0.000744952,0.000744952
4,24.106,1.54582,2.10385,1.48311,0.00378,1,0.5441,0.32549,1.51902,2.41394,1.39238,0.000989706,0.000989706,0.000989706
5,28.4253,1.46082,1.83829,1.38811,0.64506,0.55556,0.6095,0.35143,1.33524,2.29219,1.24061,0.00122931,0.00122931,0.00122931
6,33.0007,1.33003,1.84284,1.31254,0.64506,0.55556,0.6095,0.35143,1.33524,2.29219,1.24061,0.00146377,0.00146377,0.00146377
7,37.5075,1.4709,1.83442,1.4083,0.57691,0.55556,0.45875,0.15013,2.11533,3.22292,2.06313,0.00169308,0.00169308,0.00169308
8,41.8498,1.5158,2.63988,1.47668,0.57691,0.55556,0.45875,0.15013,2.11533,3.22292,2.06313,0.0018614,0.0018614,0.0018614
9,46.3886,1.52837,1.97291,1.50795,0.5,0.33333,0.44491,0.22882,1.63806,7.22181,1.74505,0.0018416,0.0018416,0.0018416
10,50.6615,1.44015,2.49052,1.44598,0.5,0.33333,0.44491,0.22882,1.63806,7.22181,1.74505,0.0018218,0.0018218,0.0018218
11,54.9187,1.67042,2.43873,1.70678,0.43355,0.55556,0.42224,0.21374,1.65674,2.63233,1.80831,0.001802,0.001802,0.001802
12,59.172,1.29341,1.79548,1.30522,0.43355,0.55556,0.42224,0.21374,1.65674,2.63233,1.80831,0.0017822,0.0017822,0.0017822
13,63.4188,1.31205,1.79532,1.35828,0.43355,0.55556,0.42224,0.21374,1.65674,2.63233,1.80831,0.0017624,0.0017624,0.0017624
14,67.8698,1.27745,1.78304,1.34751,0.37785,0.55556,0.36837,0.23062,1.55253,3.32351,1.70658,0.0017426,0.0017426,0.0017426
15,72.0281,1.32834,1.70821,1.38641,0.37785,0.55556,0.36837,0.23062,1.55253,3.32351,1.70658,0.0017228,0.0017228,0.0017228
16,76.7635,1.33841,1.55943,1.26124,0.5374,0.66667,0.66157,0.31139,1.71903,3.99356,1.78228,0.001703,0.001703,0.001703
17,81.0933,1.27969,1.57453,1.28734,0.5374,0.66667,0.66157,0.31139,1.71903,3.99356,1.78228,0.0016832,0.0016832,0.0016832
18,85.442,1.28534,1.48026,1.34889,0.5374,0.66667,0.66157,0.31139,1.71903,3.99356,1.78228,0.0016634,0.0016634,0.0016634
19,89.7953,1.18313,1.50465,1.19195,0.55539,0.55556,0.66462,0.38907,1.44147,3.80366,1.55646,0.0016436,0.0016436,0.0016436
20,94.1721,1.35163,1.58603,1.33859,0.55539,0.55556,0.66462,0.38907,1.44147,3.80366,1.55646,0.0016238,0.0016238,0.0016238
21,98.5957,1.28847,1.41895,1.27524,0.56423,0.55556,0.60913,0.3456,1.56137,2.76292,1.74184,0.001604,0.001604,0.001604
22,103.043,1.29165,1.43391,1.44255,0.56423,0.55556,0.60913,0.3456,1.56137,2.76292,1.74184,0.0015842,0.0015842,0.0015842
23,107.429,1.23278,1.44308,1.29064,0.56423,0.55556,0.60913,0.3456,1.56137,2.76292,1.74184,0.0015644,0.0015644,0.0015644
24,111.884,1.13031,1.36784,1.30087,0.74209,0.55556,0.65045,0.36163,1.59354,3.04483,1.80753,0.0015446,0.0015446,0.0015446
25,116.13,1.14758,1.34962,1.24513,0.74209,0.55556,0.65045,0.36163,1.59354,3.04483,1.80753,0.0015248,0.0015248,0.0015248
26,120.615,1.40771,1.54174,1.39899,0.41899,0.55556,0.54345,0.34418,1.54032,4.51757,1.7653,0.001505,0.001505,0.001505
27,124.828,1.29084,1.51983,1.43213,0.41899,0.55556,0.54345,0.34418,1.54032,4.51757,1.7653,0.0014852,0.0014852,0.0014852
28,129.194,1.23362,1.41543,1.34889,0.41899,0.55556,0.54345,0.34418,1.54032,4.51757,1.7653,0.0014654,0.0014654,0.0014654
